gpu_name RTX_4090
mean_duration 7.371867873669468
relevance_pass_rate 0.912010705921713
bert_raw_avg -0.013551619751654597
bert_pass_rate 0.9327534292405487
mpnet_raw_avg 0.6750216130076887
mpnet_pass_rate 0.9183673469387755
dpo_mean -10.329044386709603
dpo_norm_mean 0.7564352750778198
rlhf_mean -1.070059575763633
rlhf_mean_norm 0.08074980974197388
reciprocate_reward_mean -3.6278423731237845
reciprocate_reward_mean_norm 0.0367797315120697
total_reward 0.37667449765199007
total_reward_excluding_relevance 0.41301543414592745
