gpu_name RTX_4090
mean_duration 3.3404546592406192
relevance_pass_rate 0.8278529980657641
bert_raw_avg -0.01796584169909973
bert_pass_rate 0.8384912959381045
mpnet_raw_avg 0.632498372425154
mpnet_pass_rate 0.900193423597679
dpo_mean -12.282152895309478
dpo_norm_mean 0.41536220829191706
rlhf_mean -0.3250684384975078
rlhf_mean_norm 0.26065262737080486
reciprocate_reward_mean 0.10575056031485584
reciprocate_reward_mean_norm 0.2712369771368038
total_reward 0.25683378184705913
total_reward_excluding_relevance 0.3102408065769382
