gpu_name RTX_3090
mean_duration 5.144669173890474
relevance_pass_rate 0.9857911733046286
bert_raw_avg -0.01341706393366781
bert_pass_rate 0.9916038751345533
mpnet_raw_avg 0.7027653480872945
mpnet_pass_rate 0.9933261571582347
dpo_mean -11.002797446851453
dpo_norm_mean 0.6451326608657837
rlhf_mean 0.019698625099902875
rlhf_mean_norm 0.2871362566947937
reciprocate_reward_mean 0.3221868564400982
reciprocate_reward_mean_norm 0.23939210176467896
total_reward 0.4018329641418642
total_reward_excluding_relevance 0.4076248347759247
