gpu_name RTX_4090
mean_duration 2.6834991715519303
relevance_pass_rate 0.8232931726907631
bert_raw_avg -0.02007943418542719
bert_pass_rate 0.8232931726907631
mpnet_raw_avg 0.5873076622916692
mpnet_pass_rate 0.8714859437751004
dpo_mean -12.473440637550201
dpo_norm_mean 0.3699077367782593
rlhf_mean -0.30775718768332977
rlhf_mean_norm 0.24860903118030134
reciprocate_reward_mean 0.23117255234136813
reciprocate_reward_mean_norm 0.23172765970230103
total_reward 0.26003094226959717
total_reward_excluding_relevance 0.3158424615859985
