gpu_name RTX_4090
mean_duration 5.646994547009067
relevance_pass_rate 0.9941077441077442
bert_raw_avg -0.012259676323432162
bert_pass_rate 0.9966329966329966
mpnet_raw_avg 0.7401293096593534
mpnet_pass_rate 0.9974747474747475
dpo_mean -10.634909752911055
dpo_norm_mean 0.7082909345626831
rlhf_mean -0.31417612342842227
rlhf_mean_norm 0.25806405476381217
reciprocate_reward_mean -2.002149750410484
reciprocate_reward_mean_norm 0.08940830826759338
total_reward 0.41124878934136144
total_reward_excluding_relevance 0.4136863350868225
