gpu_name RTX_4090
<<<<<<< HEAD
mean_duration 4.142956852434151
relevance_pass_rate 0.8473895582329317
bert_raw_avg -0.017787483590000434
bert_pass_rate 0.8634538152610441
mpnet_raw_avg 0.6299073077498909
mpnet_pass_rate 0.9397590361445783
dpo_mean -12.003976844879517
dpo_norm_mean 0.45451421227799843
rlhf_mean -0.16478254579112353
rlhf_mean_norm 0.27213493611917916
reciprocate_reward_mean 0.5590668447774734
reciprocate_reward_mean_norm 0.5590668447774734
=======
mean_duration 3.354743997734713
relevance_pass_rate 0.8353413654618473
bert_raw_avg -0.018061639256700523
bert_pass_rate 0.8634538152610441
mpnet_raw_avg 0.6211203381262091
mpnet_pass_rate 0.9236947791164659
dpo_mean -12.11472452309237
dpo_norm_mean 0.4478541801732228
rlhf_mean -0.27673815499164117
rlhf_mean_norm 0.2598399452895046
reciprocate_reward_mean 0.34558765704815203
reciprocate_reward_mean_norm 0.34558765704815203
>>>>>>> 80e304837e6f25144211408a283d242c75daeb95
